source_row,dish_id,dish_name,ingredient_id,ingredient_name,quantity,unit,original_quantity
2,dish_nom_rau_muong,NỘM RAU MUỐNG,ing_rau_muong,Rau muống,500,g,500 g
3,dish_nom_rau_muong,NỘM RAU MUỐNG,ing_ot_do_to,Ớt đỏ to,2,g,2 g
4,dish_nom_rau_muong,NỘM RAU MUỐNG,ing_hong_do,Hồng đỏ,200,g,200 g
5,dish_nom_rau_muong,NỘM RAU MUỐNG,ing_mo_lon_nuoc,Mỡ lợn nước,10,g,10 g
6,dish_nom_rau_muong,NỘM RAU MUỐNG,ing_thit_lon_nua_nac_nua_mo,"Thịt lợn nửa nạc, nửa mỡ",100,g,100 g
7,dish_nom_rau_muong,NỘM RAU MUỐNG,ing_nuoc_mam_ca,Nước mắm cá,,,
8,dish_nom_rau_muong,NỘM RAU MUỐNG,ing_tai_lon,Tai lợn,200,g,200 g
9,dish_nom_rau_muong,NỘM RAU MUỐNG,ing_vung_den_trang,"Vừng ( Đen, Trắng)",50,g,50 g
10,dish_nom_rau_muong,NỘM RAU MUỐNG,ing_lac_hat,Lạc Hạt,80,g,80 g
11,dish_nom_rau_muong,NỘM RAU MUỐNG,ing_rau_thom,Rau thơm,,,
12,dish_nom_rau_muong,NỘM RAU MUỐNG,ing_duong_cat,Đường cát,10,g,10 g
13,dish_nom_rau_muong,NỘM RAU MUỐNG,ing_rau_mui,Rau mùi,,,
14,dish_nom_rau_muong,NỘM RAU MUỐNG,ing_chanh,Chanh,2,quả,150g
15,dish_canh_cai_cuc_nau_ca_ro,CANH CẢI CÚC NẤU CÁ RÔ,ing_cai_cuc,Cải cúc,500,g,500 g
16,dish_canh_cai_cuc_nau_ca_ro,CANH CẢI CÚC NẤU CÁ RÔ,ing_nuoc_mam_ca,Nước mắm cá,,,
17,dish_canh_cai_cuc_nau_ca_ro,CANH CẢI CÚC NẤU CÁ RÔ,ing_ca_ro_dong,Cá rô đồng,300,g,300 g
18,dish_canh_cai_cuc_nau_ca_ro,CANH CẢI CÚC NẤU CÁ RÔ,ing_muoi,Muối,,,
19,dish_canh_cai_soong_nau_thit_nac,CANH CẢI SOONG NẤU THỊT NẠC,ing_cai_soong,Cải soong,500,g,500 g
20,dish_canh_cai_soong_nau_thit_nac,CANH CẢI SOONG NẤU THỊT NẠC,ing_nuoc_mam_ca,Nước mắm cá,,,
21,dish_canh_cai_soong_nau_thit_nac,CANH CẢI SOONG NẤU THỊT NẠC,ing_thit_lon_nac,Thịt lợn nạc,200,g,200 g
22,dish_canh_cai_soong_nau_thit_nac,CANH CẢI SOONG NẤU THỊT NẠC,ing_muoi,Muối,,,
23,dish_canh_cai_nau_than_lon_trung_ga,CANH CẢI NẤU THẦN LỢN TRỨNG GÀ,ing_cai_xanh,Cải xanh,200,g,200 g
24,dish_canh_cai_nau_than_lon_trung_ga,CANH CẢI NẤU THẦN LỢN TRỨNG GÀ,ing_hanh_la_hanh_hoa,Hành lá (hành hoa),,,
25,dish_canh_cai_nau_than_lon_trung_ga,CANH CẢI NẤU THẦN LỢN TRỨNG GÀ,ing_thit_lon_nac,Thịt lợn nạc,150,g,150 g
26,dish_canh_cai_nau_than_lon_trung_ga,CANH CẢI NẤU THẦN LỢN TRỨNG GÀ,ing_nuoc_mam_ca,Nước mắm cá,10,ml,10g
27,dish_canh_cai_nau_than_lon_trung_ga,CANH CẢI NẤU THẦN LỢN TRỨNG GÀ,ing_trung_ga,Trứng gà,2,quả,100g
28,dish_canh_cai_nau_than_lon_trung_ga,CANH CẢI NẤU THẦN LỢN TRỨNG GÀ,ing_muoi,Muối,,,
29,dish_cai_xanh_xao_thap_cam,CẢI XANH XÀO THẬP CẨM,ing_cai_xanh,Cải xanh,300,g,300 g
30,dish_cai_xanh_xao_thap_cam,CẢI XANH XÀO THẬP CẨM,ing_rau_thom,Rau thơm,50,g,50 g
31,dish_cai_xanh_xao_thap_cam,CẢI XANH XÀO THẬP CẨM,ing_thit_lon_nua_nac_nua_mo,"Thịt lợn nửa nạc, nửa mỡ",100,g,100 g
32,dish_cai_xanh_xao_thap_cam,CẢI XANH XÀO THẬP CẨM,ing_toi_ta,Tỏi ta,30,g,30 g
33,dish_cai_xanh_xao_thap_cam,CẢI XANH XÀO THẬP CẨM,ing_mien_dong,Miến dong,30,g,30 g
34,dish_cai_xanh_xao_thap_cam,CẢI XANH XÀO THẬP CẨM,ing_hanh_cu_tuoi,Hành củ tươi,20,g,20 g
35,dish_cai_xanh_xao_thap_cam,CẢI XANH XÀO THẬP CẨM,ing_mang_kho,Măng khô,50,g,50 g
36,dish_cai_xanh_xao_thap_cam,CẢI XANH XÀO THẬP CẨM,ing_mo_lon_nuoc,Mỡ lợn nước,50,g,50 g
37,dish_cai_xanh_xao_thap_cam,CẢI XANH XÀO THẬP CẨM,ing_moc_nhi,Mộc nhĩ,10,g,10 g
38,dish_cai_xanh_xao_thap_cam,CẢI XANH XÀO THẬP CẨM,ing_nuoc_mam_ca,Nước mắm cá,100,g,100 g
39,dish_cai_xanh_xao_thap_cam,CẢI XANH XÀO THẬP CẨM,ing_cai_cuc,Cải cúc,100,g,100 g
40,dish_cai_xanh_xao_thap_cam,CẢI XANH XÀO THẬP CẨM,ing_muoi,Muối,,,
41,dish_canh_chua_cai_bap,CANH CHUA Cải bắp,ing_cai_bap,Cải bắp,300,g,300 g
42,dish_canh_chua_cai_bap,CANH CHUA Cải bắp,ing_ot_do_to,Ớt đỏ to,5,g,5 g
43,dish_canh_chua_cai_bap,CANH CHUA Cải bắp,ing_ca_chua,Cà chua,150,g,150 g
44,dish_canh_chua_cai_bap,CANH CHUA Cải bắp,ing_rau_mui,Rau mùi,10,g,10 g
45,dish_canh_chua_cai_bap,CANH CHUA Cải bắp,ing_tep_gao,Tép gạo,100,g,100 g
46,dish_canh_chua_cai_bap,CANH CHUA Cải bắp,ing_hanh_cu_tuoi,Hành củ tươi,5,g,5 g
47,dish_canh_chua_cai_bap,CANH CHUA Cải bắp,ing_qua_me_chua,Quả me chua,20,g,20 g
48,dish_canh_chua_cai_bap,CANH CHUA Cải bắp,ing_muoi,Muối,,,
49,dish_canh_chua_cai_bap,CANH CHUA Cải bắp,ing_mo_lon_nuoc,Mỡ lợn nước,10,ml,10 g
50,dish_canh_chua_cai_bap,CANH CHUA Cải bắp,ing_nuoc_mam_ca,Nước mắm cá,,,
51,dish_cai_bap_nhoi_thit_hap,Cải bắp NHỒI THỊT HẤP,ing_cai_bap,Cải bắp,500,g,500 g
52,dish_cai_bap_nhoi_thit_hap,Cải bắp NHỒI THỊT HẤP,ing_hat_tieu,Hạt tiêu,,,
