dish_id,name,ingredient_count,source
dish_ba_ba_ham_hat_sen,BA BA HẦM HẠT SEN,12,mon_an_nguyen_lieu.xlsx
dish_ba_ba_nuong_cha,BA BA NƯỚNG CHẢ,16,mon_an_nguyen_lieu.xlsx
dish_ba_ba_nau_chan_gio,BA BA NẤU CHÂN GIÒ,13,mon_an_nguyen_lieu.xlsx
dish_ba_ba_nau_dau_phu_chuoi_xanh,BA BA NẤU ĐẬU PHỤ CHUỐI XANH,13,mon_an_nguyen_lieu.xlsx
dish_ba_ba_sot_chua_ngot,BA BA SỐT CHUA NGỌT,12,mon_an_nguyen_lieu.xlsx
dish_ba_ba_tan_nam,BA BA TẤN NẤM,11,mon_an_nguyen_lieu.xlsx
dish_bi_do_ham_dua,BÍ ĐỎ HẦM DỪA,6,mon_an_nguyen_lieu.xlsx
dish_bi_do_xao_tom,BÍ ĐỎ XÀO TÔM,7,mon_an_nguyen_lieu.xlsx
dish_bau_xao_tom_thit,BẦU XÀO TÔM THỊT,9,mon_an_nguyen_lieu.xlsx
dish_canh_bi_dao_nau_tom_thit,CANH BÍ ĐAO NẤU TÔM THỊT,9,mon_an_nguyen_lieu.xlsx
dish_canh_bau_nau_cua,CANH BẦU NẤU CUA,3,mon_an_nguyen_lieu.xlsx
dish_canh_chua_ca,CANH CHUA CÁ,13,mon_an_nguyen_lieu.xlsx
dish_canh_chua_cai_bap,CANH CHUA Cải bắp,10,mon_an_nguyen_lieu.xlsx
dish_canh_ca_nau_dam,CANH CÁ NẤU DẤM,11,mon_an_nguyen_lieu.xlsx
dish_canh_ca_nau_dua,CANH CÁ NẤU DỨA,10,mon_an_nguyen_lieu.xlsx
dish_canh_ca_ro_nau_mien,CANH CÁ RÔ NẤU MIẾN,7,mon_an_nguyen_lieu.xlsx
dish_canh_ca_ro_thuon_hanh_ram,CANH CÁ RÔ THUÔN HÀNH RĂM,6,mon_an_nguyen_lieu.xlsx
dish_canh_ca_am,CANH CÁ ÁM,10,mon_an_nguyen_lieu.xlsx
dish_canh_cai_cuc_nau_ca_ro,CANH CẢI CÚC NẤU CÁ RÔ,4,mon_an_nguyen_lieu.xlsx
dish_canh_cai_nau_than_lon_trung_ga,CANH CẢI NẤU THẦN LỢN TRỨNG GÀ,6,mon_an_nguyen_lieu.xlsx
dish_canh_cai_soong_nau_thit_nac,CANH CẢI SOONG NẤU THỊT NẠC,4,mon_an_nguyen_lieu.xlsx
dish_canh_dua_huong_nau_ca_ro,CANH DƯA HƯỜNG NẤU CÁ RÔ,5,mon_an_nguyen_lieu.xlsx
dish_canh_dua_nau_ca_tre,CANH DƯA NẤU CÁ TRÊ,10,mon_an_nguyen_lieu.xlsx
dish_canh_hoa_lo_nau_thit_ga,CANH HOA LƠ NẤU THỊT GÀ,3,mon_an_nguyen_lieu.xlsx
dish_canh_he_nau_thit,CANH HỆ NẤU THỊT,7,mon_an_nguyen_lieu.xlsx
dish_canh_khoai_mo,CANH KHOAI MỠ,7,mon_an_nguyen_lieu.xlsx
dish_canh_muop_huong_nau_cua_rau_day,"CANH MƯỚP HƯƠNG NẤU CUA, RAU ĐAY",6,mon_an_nguyen_lieu.xlsx
dish_canh_su_hao_nau_suon,CANH SU HÀO NẤU SƯỜN,4,mon_an_nguyen_lieu.xlsx
dish_canh_tom_nau_nam_huong,CANH TÔM NẤU NẤM HƯƠNG,12,mon_an_nguyen_lieu.xlsx
dish_canh_dau_phu,CANH ĐẬU PHỤ,7,mon_an_nguyen_lieu.xlsx
dish_canh_dau_trang_nau_thit_ga,CANH ĐẬU TRẮNG NẤU THỊT GÀ,7,mon_an_nguyen_lieu.xlsx
dish_canh_dau_xanh,CANH ĐẬU XANH,4,mon_an_nguyen_lieu.xlsx
dish_chao_tom,CHẠO TÔM,10,mon_an_nguyen_lieu.xlsx
dish_cha_ca_nuong,CHẢ CÁ NƯỚNG,20,mon_an_nguyen_lieu.xlsx
dish_cha_ca_ran,CHẢ CÁ RÁN,12,mon_an_nguyen_lieu.xlsx
dish_cha_gio_tom,CHẢ GIÒ TÔM,7,mon_an_nguyen_lieu.xlsx
dish_cha_khoai_mon,CHẢ KHOAI MÔN,7,mon_an_nguyen_lieu.xlsx
dish_cha_muc,CHẢ MỰC,10,mon_an_nguyen_lieu.xlsx
dish_cha_tom,CHẢ TÔM,5,mon_an_nguyen_lieu.xlsx
dish_cuon_tom,CUỐN TÔM,16,mon_an_nguyen_lieu.xlsx
dish_ca_chua_nhoi_thit_hap,CÀ CHUA NHỔI THỊT HẤP,6,mon_an_nguyen_lieu.xlsx
dish_ca_tim_bung,CÀ TÍM BUNG,11,mon_an_nguyen_lieu.xlsx
dish_ca_tim_boc_bot_trung_ran,CÀ TÍM BỌC BỘT TRỨNG RÁN,9,mon_an_nguyen_lieu.xlsx
dish_ca_tim_xao_thit,CÀ TÍM XẢO THỊT,8,mon_an_nguyen_lieu.xlsx
dish_ca_au,CÁ AU,9,mon_an_nguyen_lieu.xlsx
dish_ca_boc_mo_chai_nuong,CÁ BỌC MỠ CHÀI NƯỚNG,13,mon_an_nguyen_lieu.xlsx
dish_ca_chim_kho,CÁ CHIM KHO,6,mon_an_nguyen_lieu.xlsx
dish_ca_hap_chua_ngot,CÁ HẤP CHUA NGỌT,13,mon_an_nguyen_lieu.xlsx
dish_ca_hap_gan_lon,CÁ HẤP GAN LỢN,12,mon_an_nguyen_lieu.xlsx
dish_ca_hap_gung_hanh,CÁ HẤP GỪNG HÀNH,13,mon_an_nguyen_lieu.xlsx
dish_ca_kho_cu_cai,CÁ KHO CỦ CẢI,8,mon_an_nguyen_lieu.xlsx
dish_ca_kho_dua,CÁ KHO DỨA,7,mon_an_nguyen_lieu.xlsx
dish_ca_kho_nuoc_dua,CÁ KHO NƯỚC DỪA,8,mon_an_nguyen_lieu.xlsx
dish_ca_kho_rieng,CÁ KHO RIỀNG,6,mon_an_nguyen_lieu.xlsx
dish_ca_kho_chung_thit,CÁ KHÔ CHƯNG THỊT,10,mon_an_nguyen_lieu.xlsx
dish_ca_kho_hap,CÁ KHÔ HẤP,7,mon_an_nguyen_lieu.xlsx
dish_ca_kho_rim,CÁ KHÔ RIM,8,mon_an_nguyen_lieu.xlsx
dish_ca_nhung_dam_nuoc_dua,"CÁ NHÚNG DẤM, NƯỚC DỪA",14,mon_an_nguyen_lieu.xlsx
dish_ca_nuong,CÁ NƯỚNG,15,mon_an_nguyen_lieu.xlsx
dish_ca_om_rieng_me,CÁ OM RIỀNG MẺ,11,mon_an_nguyen_lieu.xlsx
dish_ca_ran_sot_ca_chua,CÁ RÁN SỐT CÀ CHUA,9,mon_an_nguyen_lieu.xlsx
dish_ca_rut_xuong_bo_lo,CÁ RÚT XƯƠNG BỎ LÒ,12,mon_an_nguyen_lieu.xlsx
dish_ca_rut_xuong_hap,CÁ RÚT XƯƠNG HẤP,18,mon_an_nguyen_lieu.xlsx
dish_ca_rut_xuong_nhoi_thit,CÁ RỨT XƯƠNG NHỔI THỊT,14,mon_an_nguyen_lieu.xlsx
