ingredient_id,ingredient_name,category,energy_kcal,protein_g,fat_g,carb_g,fiber_g,purine_mg,sodium_mg,potassium_mg,phosphorus_mg,cholesterol_mg,water_g,fructose_g,glucose_g,sucrose_g,calcium_mg,iron_mg,vitamin_c_mg,GI
1001,Gạo nếp cái,Ngũ cốc và sản phẩm chế biến,344,8.5,1.5,74.5,0.6,,3,280,98,0,14,,,,32,1.2,0,
1002,Gạo nếp máy,Ngũ cốc và sản phẩm chế biến,346,8.4,1.6,74.9,0.5,,3,282,130,0,13.9,,,,16,1.2,0,
1003,Gạo tẻ giã,Ngũ cốc và sản phẩm chế biến,344,8.1,1.3,75,0.7,,5,202,108,0,14,,,,36,0.2,0,
1004,Gạo tẻ máy,Ngũ cốc và sản phẩm chế biến,344,7.9,1,75.9,0.4,,5,241,104,0,14,,,,30,1.3,0,
1005,Gạo lứt,Ngũ cốc và sản phẩm chế biến,345,7.5,2.7,72.8,3.4,,5,202,246,0,12.4,,,,16,2.8,0,
1006,Kê,Ngũ cốc và sản phẩm chế biến,331,7,3,69,3.4,62,7,249,290,0,14,,,,22,2.7,0,
1007,Ngô bắp tươi,Ngũ cốc và sản phẩm chế biến,196,4.1,2.3,39.6,1.2,52,3,306,170,0,52,0.2,0.6,,4,0.6,12,
1008,Ngô vàng hạt khô,Ngũ cốc và sản phẩm chế biến,354,8.6,4.7,69.4,2,,35,287,190,0,14,,,,30,2.3,0,
1009,Bánh bao nhân thịt,Ngũ cốc và sản phẩm chế biến,219,6.1,0.5,47.5,0.5,,,,88,0,44,,,,19,1.5,,
1010,Bánh đa nem,Ngũ cốc và sản phẩm chế biến,333,4,0.2,78.9,0.5,,,,65,0,15,,,,20,0.3,0,
1011,Bánh đút,Ngũ cốc và sản phẩm chế biến,52,0.9,0.3,11.3,0.1,,,,19,0,86.6,,,,50,0.4,0,
1012,Bánh mì,Ngũ cốc và sản phẩm chế biến,249,7.9,0.8,52.6,0.2,,,,164,0,37.2,,,,28,2,0,
1013,Bánh phở,Ngũ cốc và sản phẩm chế biến,143,3.2,0.4,31.7,0,,3,15,64,0,64.3,,,,16,0.3,0,
