ingredient_id,name,source
ing_banh_phong_tom_ran,Bánh phồng tôm rán,mon_an_nguyen_lieu.xlsx
ing_banh_pho,Bánh phở,mon_an_nguyen_lieu.xlsx
ing_banh_da_nem,Bánh đa nem,mon_an_nguyen_lieu.xlsx
ing_bi_ngo,Bí ngô,mon_an_nguyen_lieu.xlsx
ing_bi_dao_bi_xanh,Bí đao( bí xanh),mon_an_nguyen_lieu.xlsx
ing_bun,Bún,mon_an_nguyen_lieu.xlsx
ing_buoi,Bưởi,mon_an_nguyen_lieu.xlsx
ing_bau,Bầu,mon_an_nguyen_lieu.xlsx
ing_bau_duc_lon,Bầu dục lợn,mon_an_nguyen_lieu.xlsx
ing_bot_ca,Bột cá,mon_an_nguyen_lieu.xlsx
ing_bot_gao_nep,Bột gạo nếp,mon_an_nguyen_lieu.xlsx
ing_bot_mi,Bột mì,mon_an_nguyen_lieu.xlsx
ing_cary_bot,Cary bột,mon_an_nguyen_lieu.xlsx
ing_chanh,Chanh,mon_an_nguyen_lieu.xlsx
ing_chuoi_xanh,Chuối xanh,mon_an_nguyen_lieu.xlsx
ing_chan_gio_lon,Chân giò lợn,mon_an_nguyen_lieu.xlsx
ing_cua_dong,Cua đồng,mon_an_nguyen_lieu.xlsx
ing_ca_bat,Cà bát,mon_an_nguyen_lieu.xlsx
ing_ca_chua,Cà chua,mon_an_nguyen_lieu.xlsx
ing_ca_rot_kho,Cà rốt khô,mon_an_nguyen_lieu.xlsx
ing_ca_rot_cu_do_vang,"Cà rốt( củ đỏ, vàng)",mon_an_nguyen_lieu.xlsx
ing_ca_tim,Cà tím,mon_an_nguyen_lieu.xlsx
ing_ca_bong,Cá bống,mon_an_nguyen_lieu.xlsx
ing_ca_chep,Cá chép,mon_an_nguyen_lieu.xlsx
ing_ca_dau,Cá dầu,mon_an_nguyen_lieu.xlsx
ing_ca_nac,Cá nạc,mon_an_nguyen_lieu.xlsx
ing_ca_qua,Cá quả,mon_an_nguyen_lieu.xlsx
ing_ca_ro_dong,Cá rô đồng,mon_an_nguyen_lieu.xlsx
ing_ca_thu,Cá thu,mon_an_nguyen_lieu.xlsx
ing_ca_tre,Cá trê,mon_an_nguyen_lieu.xlsx
ing_ca_trich,Cá trích,mon_an_nguyen_lieu.xlsx
ing_ca_tram_co,Cá trắm cỏ,mon_an_nguyen_lieu.xlsx
ing_ca_doi,Cá đối,mon_an_nguyen_lieu.xlsx
ing_cui_dua_gia,Cùi dừa giả,mon_an_nguyen_lieu.xlsx
ing_cai_bap,Cải bắp,mon_an_nguyen_lieu.xlsx
ing_cai_cuc,Cải cúc,mon_an_nguyen_lieu.xlsx
ing_cai_soong,Cải soong,mon_an_nguyen_lieu.xlsx
ing_cai_xanh,Cải xanh,mon_an_nguyen_lieu.xlsx
ing_can_ta,Cần ta,mon_an_nguyen_lieu.xlsx
ing_can_tay,Cần tây,mon_an_nguyen_lieu.xlsx
ing_com,Cốm,mon_an_nguyen_lieu.xlsx
ing_cu_cai_trang,Củ cải trắng,mon_an_nguyen_lieu.xlsx
ing_cu_khoai_mo,Củ khoai mỡ,mon_an_nguyen_lieu.xlsx
ing_cu_nieng,Củ niễng,mon_an_nguyen_lieu.xlsx
ing_cu_dau,Củ đậu,mon_an_nguyen_lieu.xlsx
ing_dua_chuot,Dưa chuột,mon_an_nguyen_lieu.xlsx
